1_id,1_gene,1_chrom,1_start,1_end,1_strand,2_id,2_gene,2_chrom,2_start,2_end,2_strand
gene:ENSG00000118655,DCLRE1B,1,113904619,113914086,+,gene:ENSG00000134262,AP4B1,1,113894194,113905712,-
gene:ENSG00000204624,DISP3,1,11479155,11537551,+,gene:ENSG00000052723,SIKE1,1,114769479,114780685,-
gene:ENSG00000173212,MAB21L3,1,116111399,116138149,+,gene:ENSG00000116661,FBXO2,1,11637018,11655785,-
gene:ENSG00000132879,FBXO44,1,11654375,11663327,+,gene:ENSG00000116815,CD58,1,116514534,116571039,-
gene:ENSG00000116663,FBXO6,1,11664200,11674354,+,gene:ENSG00000116670,MAD2L2,1,11658918,11691811,-
gene:ENSG00000177674,AGTRAP,1,11736084,11754802,+,gene:ENSG00000134258,VTCN1,1,117143587,117210960,-
gene:ENSG00000215910,C1orf167,1,11761787,11789585,+,gene:ENSG00000177000,MTHFR,1,11785723,11806455,-
gene:ENSG00000065183,WDR3,1,117929720,117966543,+,gene:ENSG00000196505,GDAP2,1,117863485,117929621,-
gene:ENSG00000065183,WDR3,1,117929720,117966543,+,gene:ENSG00000155761,SPAG17,1,117953590,118185228,-
gene:ENSG00000011021,CLCN6,1,11806096,11848079,+,gene:ENSG00000155761,SPAG17,1,117953590,118185228,-
gene:ENSG00000011021,CLCN6,1,11806096,11848079,+,gene:ENSG00000175206,NPPA,1,11845709,11848345,-
gene:ENSG00000092621,PHGDH,1,119648411,119744218,+,gene:ENSG00000143067,ZNF697,1,119619377,119648266,-
gene:ENSG00000116688,MFN2,1,11980181,12015211,+,gene:ENSG00000134193,REG4,1,119794017,119811580,-
gene:ENSG00000116691,MIIP,1,12019466,12032045,+,gene:ENSG00000265808,SEC22B,1,120150898,120176520,-
gene:ENSG00000116691,MIIP,1,12019466,12032045,+,gene:ENSG00000186891,TNFRSF18,1,1203508,1206592,-
gene:ENSG00000171943,SRGAP2C,1,121184811,121392874,+,gene:ENSG00000188610,FAM72B,1,121167646,121185539,-
gene:ENSG00000028137,TNFRSF1B,1,12166991,12209228,+,gene:ENSG00000078808,SDF4,1,1216931,1232031,-
gene:ENSG00000204510,PRAMEF7,1,12916610,12920751,+,gene:ENSG00000131584,ACAP3,1,1292390,1309609,-
gene:ENSG00000224051,CPTP,1,1324756,1328896,+,gene:ENSG00000279804,PRAMEF18,1,13222695,13226154,-
gene:ENSG00000116731,PRDM2,1,13700188,13825079,+,gene:ENSG00000175756,AURKAIP1,1,1373730,1375207,-
gene:ENSG00000189337,KAZN,1,13892792,15118043,+,gene:ENSG00000242485,MRPL20,1,1401909,1407293,-
gene:ENSG00000215915,ATAD3C,1,1449689,1470163,+,gene:ENSG00000196369,SRGAP2B,1,144887265,145095528,-
gene:ENSG00000117262,GPR89A,1,145607988,145670650,+,gene:ENSG00000174827,PDZK1,1,145670852,145708148,-
gene:ENSG00000117281,CD160,1,145719471,145739288,+,gene:ENSG00000265491,RNF115,1,145738868,145824095,-
gene:ENSG00000186141,POLR3C,1,145824053,145844402,+,gene:ENSG00000265491,RNF115,1,145738868,145824095,-
gene:ENSG00000186364,NUDT17,1,145845630,145848954,+,gene:ENSG00000131788,PIAS3,1,145848522,145859836,-
gene:ENSG00000280778,unknown,1,145927258,145977811,+,gene:ENSG00000265241,RBM8A,1,145921556,145927678,-
gene:ENSG00000280778,unknown,1,145927258,145977811,+,gene:ENSG00000271601,LIX1L,1,145933423,145958017,-
gene:ENSG00000121851,POLR3GL,1,145964690,145978848,+,gene:ENSG00000272031,ANKRD34A,1,145959441,145964575,-
gene:ENSG00000160072,ATAD3B,1,1471765,1497848,+,gene:ENSG00000131781,FMO5,1,147175351,147243050,-
gene:ENSG00000150337,FCGR1A,1,149782671,149791675,+,gene:ENSG00000203814,H2BC18,1,149782689,149812373,-
gene:ENSG00000270882,H4C14,1,149832657,149839767,+,gene:ENSG00000203811,H3C14,1,149840687,149841208,-
gene:ENSG00000203852,H3C15,1,149852608,149853125,+,gene:ENSG00000270276,H4C15,1,149854045,149861159,-
gene:ENSG00000184260,H2AC20,1,149886918,149887411,+,gene:ENSG00000184678,H2BC21,1,149884459,149886682,-
gene:ENSG00000184260,H2AC20,1,149886918,149887411,+,gene:ENSG00000184270,H2AC21,1,149887469,149887965,-
gene:ENSG00000178096,BOLA1,1,149887890,149900798,+,gene:ENSG00000184270,H2AC21,1,149887469,149887965,-
gene:ENSG00000118298,CA14,1,150257251,150265078,+,gene:ENSG00000117362,APH1A,1,150265399,150269580,-
gene:ENSG00000118292,C1orf54,1,150268200,150280916,+,gene:ENSG00000117362,APH1A,1,150265399,150269580,-
gene:ENSG00000143382,ADAMTSL4,1,150549369,150560937,+,gene:ENSG00000143384,MCL1,1,150560895,150579738,-
gene:ENSG00000143379,SETDB1,1,150926263,150964744,+,gene:ENSG00000143418,CERS2,1,150960583,150975003,-
gene:ENSG00000143412,ANXA9,1,150982249,150995634,+,gene:ENSG00000143409,MINDY1,1,150996549,151008376,-
gene:ENSG00000143363,PRUNE1,1,151008420,151035713,+,gene:ENSG00000143409,MINDY1,1,150996549,151008376,-
gene:ENSG00000143443,C1orf56,1,151047751,151051986,+,gene:ENSG00000197622,CDC42SE1,1,151050971,151070325,-
gene:ENSG00000213190,MLLT11,1,151060397,151069544,+,gene:ENSG00000197622,CDC42SE1,1,151050971,151070325,-
gene:ENSG00000163156,SCNM1,1,151156664,151170296,+,gene:ENSG00000163155,LYSMD1,1,151159748,151165948,-
gene:ENSG00000143373,ZNF687,1,151281618,151292176,+,gene:ENSG00000143393,PI4KB,1,151291797,151327715,-
gene:ENSG00000159377,PSMB4,1,151399560,151401937,+,gene:ENSG00000143442,POGZ,1,151402724,151459494,-
gene:ENSG00000143376,SNX27,1,151612006,151699091,+,gene:ENSG00000159409,CELF3,1,151700058,151716803,-
gene:ENSG00000178796,RIIAD1,1,151710433,151729805,+,gene:ENSG00000159409,CELF3,1,151700058,151716803,-
gene:ENSG00000143450,OAZ3,1,151762899,151771334,+,gene:ENSG00000143436,MRPL9,1,151759647,151763496,-
gene:ENSG00000143450,OAZ3,1,151762899,151771334,+,gene:ENSG00000182134,TDRKH,1,151770107,151791416,-
gene:ENSG00000142621,FHAD1,1,15236521,15400283,+,gene:ENSG00000143520,FLG2,1,152348735,152360006,-
gene:ENSG00000160678,S100A1,1,153627926,153632039,+,gene:ENSG00000189171,S100A13,1,153618787,153631360,-
gene:ENSG00000143553,SNAPIN,1,153658703,153661852,+,gene:ENSG00000143621,ILF2,1,153661788,153671028,-
gene:ENSG00000143578,CREB3L4,1,153967534,153974361,+,gene:ENSG00000285779,unknown,1,153959151,153975887,-
gene:ENSG00000143578,CREB3L4,1,153967534,153974361,+,gene:ENSG00000143543,JTB,1,153974269,153977674,-
gene:ENSG00000177954,RPS27,1,153990762,153992155,+,gene:ENSG00000143552,NUP210L,1,153992690,154155116,-
gene:ENSG00000142634,EFHD2,1,15409888,15430339,+,gene:ENSG00000143552,NUP210L,1,153992690,154155116,-
gene:ENSG00000143569,UBAP2L,1,154220179,154271510,+,gene:ENSG00000143612,C1orf43,1,154206696,154220637,-
gene:ENSG00000160712,IL6R,1,154405193,154469450,+,gene:ENSG00000169291,SHE,1,154469772,154502412,-
gene:ENSG00000163239,TDRD10,1,154502219,154548147,+,gene:ENSG00000169291,SHE,1,154469772,154502412,-
gene:ENSG00000163239,TDRD10,1,154502219,154548147,+,gene:ENSG00000160714,UBE2Q1,1,154548577,154559028,-
gene:ENSG00000142615,CELA2A,1,15456728,15472091,+,gene:ENSG00000160714,UBE2Q1,1,154548577,154559028,-
gene:ENSG00000215704,CELA2B,1,15465909,15491395,+,gene:ENSG00000160710,ADAR,1,154581695,154628013,-
gene:ENSG00000173207,CKS1B,1,154974653,154979251,+,gene:ENSG00000160691,SHC1,1,154962298,154974395,-
gene:ENSG00000160685,ZBTB7B,1,155002630,155018523,+,gene:ENSG00000163354,DCST2,1,155018520,155033781,-
gene:ENSG00000163357,DCST1,1,155033824,155050930,+,gene:ENSG00000163354,DCST2,1,155018520,155033781,-
gene:ENSG00000163462,TRIM46,1,155173787,155184971,+,gene:ENSG00000273088,unknown,1,155169409,155187272,-
gene:ENSG00000163462,TRIM46,1,155173787,155184971,+,gene:ENSG00000185499,MUC1,1,155185824,155192916,-
gene:ENSG00000173171,MTX1,1,155208695,155213824,+,gene:ENSG00000169231,THBS3,1,155195588,155209051,-
gene:ENSG00000116138,DNAJC16,1,15526813,15592379,+,gene:ENSG00000176444,CLK2,1,155262868,155278491,-
gene:ENSG00000143630,HCN3,1,155277463,155289848,+,gene:ENSG00000143627,PKLR,1,155289293,155301438,-
gene:ENSG00000125459,MSTO1,1,155563235,155614951,+,gene:ENSG00000116539,ASH1L,1,155335268,155563162,-
gene:ENSG00000132676,DAP3,1,155687960,155739010,+,gene:ENSG00000163374,YY1AP1,1,155659443,155689000,-
gene:ENSG00000132676,DAP3,1,155687960,155739010,+,gene:ENSG00000116771,AGMAT,1,15571699,15585051,-
gene:ENSG00000132718,SYT11,1,155859567,155885199,+,gene:ENSG00000116580,GON4L,1,155749659,155859400,-
gene:ENSG00000116586,LAMTOR2,1,156054782,156058506,+,gene:ENSG00000160803,UBQLN4,1,156035299,156053798,-
gene:ENSG00000160789,LMNA,1,156082573,156140081,+,gene:ENSG00000254726,MEX3A,1,156072013,156082465,-
gene:ENSG00000242252,BGLAP,1,156242184,156243317,+,gene:ENSG00000160781,PAQR6,1,156243320,156248117,-
gene:ENSG00000163472,TMEM79,1,156282935,156293185,+,gene:ENSG00000198952,SMG5,1,156249224,156282825,-
gene:ENSG00000163472,TMEM79,1,156282935,156293185,+,gene:ENSG00000198715,GLMP,1,156290089,156295689,-
gene:ENSG00000163467,TSACC,1,156337314,156346995,+,gene:ENSG00000163468,CCT3,1,156308968,156367873,-
gene:ENSG00000163382,NAXE,1,156591756,156609507,+,gene:ENSG00000160818,GPATCH4,1,156594301,156601496,-
gene:ENSG00000215695,RSC1A1,1,15659713,15662033,+,gene:ENSG00000160818,GPATCH4,1,156594301,156601496,-
gene:ENSG00000143303,METTL25B,1,156728442,156736960,+,gene:ENSG00000143319,ISG20L2,1,156721891,156728766,-
gene:ENSG00000143303,METTL25B,1,156728442,156736960,+,gene:ENSG00000143314,MRPL24,1,156737303,156741590,-
gene:ENSG00000143294,PRCC,1,156750610,156800815,+,gene:ENSG00000143321,HDGF,1,156742109,156766925,-
gene:ENSG00000198400,NTRK1,1,156815636,156881850,+,gene:ENSG00000027869,SH2D2A,1,156806243,156816848,-
gene:ENSG00000198400,NTRK1,1,156815636,156881850,+,gene:ENSG00000027644,INSRR,1,156840063,156859117,-
gene:ENSG00000116786,PLEKHM2,1,15684320,15734769,+,gene:ENSG00000027644,INSRR,1,156840063,156859117,-
gene:ENSG00000162461,SLC25A34,1,15736258,15741392,+,gene:ENSG00000117036,ETV3,1,157121191,157138474,-
gene:ENSG00000162458,FBLIM1,1,15756607,15786594,+,gene:ENSG00000143297,FCRL5,1,157513377,157552515,-
gene:ENSG00000183853,KIRREL1,1,157993273,158100262,+,gene:ENSG00000233954,UQCRHL,1,15807169,15809348,-
gene:ENSG00000198967,OR10Z1,1,158605268,158612514,+,gene:ENSG00000163554,SPTA1,1,158610704,158686715,-
gene:ENSG00000180433,OR6K6,1,158754720,158755891,+,gene:ENSG00000197403,OR6N1,1,158747814,158772195,-
gene:ENSG00000163565,IFI16,1,158999968,159055155,+,gene:ENSG00000289721,PYDC5,1,158999971,159002751,-
gene:ENSG00000162706,CADM3,1,159171609,159203313,+,gene:ENSG00000163568,AIM2,1,159061599,159187843,-
gene:ENSG00000181036,FCRL6,1,159800511,159816257,+,gene:ENSG00000228594,FNDC10,1,1598012,1600135,-
gene:ENSG00000158714,SLAMF8,1,159826811,159837492,+,gene:ENSG00000256029,unknown,1,159834474,159873053,-
gene:ENSG00000183888,SRARP,1,16004236,16008807,+,gene:ENSG00000143315,PIGM,1,160024953,160031990,-
gene:ENSG00000162728,KCNJ9,1,160081538,160090563,+,gene:ENSG00000162729,IGSF8,1,160091340,160098943,-
gene:ENSG00000018625,ATP1A2,1,160115759,160143591,+,gene:ENSG00000173641,HSPB7,1,16014028,16019594,-
gene:ENSG00000162734,PEA15,1,160205380,160215376,+,gene:ENSG00000132716,DCAF8,1,160215715,160262549,-
gene:ENSG00000162736,NCSTN,1,160343294,160358952,+,gene:ENSG00000122218,COPA,1,160288594,160343566,-
gene:ENSG00000162755,KLHDC9,1,161098361,161100346,+,gene:ENSG00000143256,PFDN2,1,161100556,161118055,-
gene:ENSG00000158793,NIT1,1,161118086,161125445,+,gene:ENSG00000143256,PFDN2,1,161100556,161118055,-
gene:ENSG00000158793,NIT1,1,161118086,161125445,+,gene:ENSG00000158796,DEDD,1,161120974,161132688,-
gene:ENSG00000143224,PPOX,1,161166056,161178013,+,gene:ENSG00000158850,B4GALT3,1,161171310,161177968,-
gene:ENSG00000158864,NDUFS2,1,161197104,161214723,+,gene:ENSG00000158859,ADAMTS4,1,161184302,161199054,-
gene:ENSG00000158882,TOMM40L,1,161225939,161230746,+,gene:ENSG00000143257,NR1I3,1,161229666,161238244,-
gene:ENSG00000197530,MIB2,1,1615454,1630605,+,gene:ENSG00000289768,unknown,1,161544807,161631456,-
gene:ENSG00000118217,ATF6,1,161766298,161977574,+,gene:ENSG00000142632,ARHGEF19,1,16197854,16212652,-
gene:ENSG00000198929,NOS1AP,1,162069691,162370475,+,gene:ENSG00000132881,CPLANE2,1,16231692,16237183,-
gene:ENSG00000254706,unknown,1,162365407,162383531,+,gene:ENSG00000171722,SPATA46,1,162373203,162376854,-
gene:ENSG00000189409,MMP23B,1,1632163,1635263,+,gene:ENSG00000143248,RGS5,1,163111121,163321791,-
gene:ENSG00000143228,NUF2,1,163266576,163355764,+,gene:ENSG00000248333,CDK11B,1,1635225,1659012,-
gene:ENSG00000055070,SZRD1,1,16352575,16398145,+,gene:ENSG00000187144,SPATA21,1,16387117,16437424,-
gene:ENSG00000162763,LRRC52,1,165544000,165563957,+,gene:ENSG00000219481,NBPF1,1,16562319,16613562,-
gene:ENSG00000143198,MGST3,1,165631213,165661796,+,gene:ENSG00000143149,ALDH9A1,1,165662216,165698562,-
gene:ENSG00000143179,UCK2,1,165827614,165911618,+,gene:ENSG00000143183,TMCO1,1,165724293,165827755,-
gene:ENSG00000143179,UCK2,1,165827614,165911618,+,gene:ENSG00000189339,SLC35E2B,1,1659529,1692795,-
gene:ENSG00000143157,POGK,1,166839447,166856359,+,gene:ENSG00000152382,TADA1,1,166856510,166876264,-
gene:ENSG00000143194,MAEL,1,166975582,167022214,+,gene:ENSG00000143195,ILDR2,1,166895711,166975540,-
gene:ENSG00000198842,STYXL2,1,167094075,167129165,+,gene:ENSG00000143167,GPA33,1,167052836,167166479,-
gene:ENSG00000143164,DCAF6,1,167935783,168075843,+,gene:ENSG00000143158,MPC2,1,167916675,167937072,-
gene:ENSG00000143153,ATP1B1,1,169105697,169310992,+,gene:ENSG00000289466,unknown,1,169112164,169112773,-
gene:ENSG00000117475,BLZF1,1,169367970,169396540,+,gene:ENSG00000143156,NME7,1,169132531,169367948,-
gene:ENSG00000117475,BLZF1,1,169367970,169396540,+,gene:ENSG00000117477,CCDC181,1,169394870,169460669,-
gene:ENSG00000000460,FIRRM,1,169662007,169854080,+,gene:ENSG00000188404,SELL,1,169690665,169711702,-
gene:ENSG00000203740,NTMT2,1,170145959,170168866,+,gene:ENSG00000117118,SDHB,1,17018664,17054032,-
gene:ENSG00000116132,PRRX1,1,170662728,170739421,+,gene:ENSG00000117115,PADI2,1,17066761,17119451,-
gene:ENSG00000283683,MYOCOS,1,171600621,171638799,+,gene:ENSG00000034971,MYOC,1,171635417,171652688,-
gene:ENSG00000180999,C1orf105,1,172420685,172468831,+,gene:ENSG00000135845,PIGC,1,172370189,172444086,-
gene:ENSG00000159339,PADI4,1,17308195,17364004,+,gene:ENSG00000120337,TNFSF18,1,173039202,173050941,-
gene:ENSG00000232113,TEX50,1,173635338,173637130,+,gene:ENSG00000183831,ANKRD45,1,173608336,173669851,-
gene:ENSG00000117593,DARS2,1,173824653,173858808,+,gene:ENSG00000120334,CENPL,1,173799550,173824883,-
gene:ENSG00000185278,ZBTB37,1,173868082,173903547,+,gene:ENSG00000117601,SERPINC1,1,173903800,173917327,-
gene:ENSG00000116161,CACYBP,1,174999163,175012027,+,gene:ENSG00000120333,MRPS14,1,175010789,175023425,-
gene:ENSG00000120332,TNN,1,175067833,175148075,+,gene:ENSG00000008130,NADK,1,1751232,1780457,-
gene:ENSG00000074964,ARHGEF10L,1,17539698,17697874,+,gene:ENSG00000116147,TNR,1,175315194,175743595,-
gene:ENSG00000075391,RASAL2,1,178094104,178484147,+,gene:ENSG00000188585,CLEC20A,1,178479240,178499634,-
gene:ENSG00000240021,TEX35,1,178513109,178548602,+,gene:ENSG00000078369,GNB1,1,1785285,1892292,-
gene:ENSG00000116191,RALGPS2,1,178725165,178921842,+,gene:ENSG00000116194,ANGPTL1,1,178849535,178871077,-
gene:ENSG00000162779,AXDND1,1,179365720,179554735,+,gene:ENSG00000116218,NPHS2,1,179550539,179575952,-
gene:ENSG00000121454,LHX4,1,180230264,180278984,+,gene:ENSG00000230124,ACBD6,1,180269653,180502954,-
gene:ENSG00000116698,SMG7,1,183472216,183598246,+,gene:ENSG00000116701,NCF2,1,183554461,183590905,-
gene:ENSG00000143344,RGL1,1,183636085,183928532,+,gene:ENSG00000162704,ARPC5,1,183620846,183635783,-
gene:ENSG00000143344,RGL1,1,183636085,183928532,+,gene:ENSG00000173627,APOBEC4,1,183646275,183653316,-
gene:ENSG00000179023,KLHDC7A,1,18480930,18485974,+,gene:ENSG00000135842,NIBAN1,1,184790724,184974508,-
gene:ENSG00000116668,SWT1,1,185157080,185291781,+,gene:ENSG00000121486,TRMT1L,1,185118101,185157072,-
gene:ENSG00000116668,SWT1,1,185157080,185291781,+,gene:ENSG00000279838,unknown,1,185292384,185294372,-
gene:ENSG00000157181,ODR4,1,186375838,186421378,+,gene:ENSG00000047410,TPR,1,186311652,186375693,-
gene:ENSG00000116711,PLA2G4A,1,186828949,186988981,+,gene:ENSG00000179002,TAS1R2,1,18839599,18859660,-
gene:ENSG00000169885,CALML6,1,1915108,1917296,+,gene:ENSG00000127481,UBR4,1,19074510,19210266,-
gene:ENSG00000169885,CALML6,1,1915108,1917296,+,gene:ENSG00000178821,TMEM52,1,1917590,1919279,-
gene:ENSG00000150681,RGS18,1,192158462,192185815,+,gene:ENSG00000142609,CFAP74,1,1921951,2003837,-
gene:ENSG00000127074,RGS13,1,192636138,192660311,+,gene:ENSG00000211454,AKR7L,1,19265982,19274194,-
gene:ENSG00000116741,RGS2,1,192809039,192812275,+,gene:ENSG00000162482,AKR7A3,1,19282573,19288770,-
gene:ENSG00000116747,RO60,1,193059454,193091777,+,gene:ENSG00000023572,GLRX2,1,193090866,193106114,-
gene:ENSG00000173436,MICOS10,1,19484403,19629821,+,gene:ENSG00000077549,CAPZB,1,19338775,19485539,-
gene:ENSG00000158748,HTR6,1,19664875,19680966,+,gene:ENSG00000162687,KCNT2,1,196225779,196609225,-
gene:ENSG00000244414,CFHR1,1,196819731,196837159,+,gene:ENSG00000162542,TMCO4,1,19682240,19799945,-
gene:ENSG00000143355,LHX9,1,197911902,197935478,+,gene:ENSG00000178828,RNF186,1,19814029,19815283,-
gene:ENSG00000158786,PLA2G2F,1,20139323,20150381,+,gene:ENSG00000159166,LAD1,1,201380833,201399915,-
gene:ENSG00000134369,NAV1,1,201539127,201826969,+,gene:ENSG00000187980,PLA2G2C,1,20161253,20186518,-
gene:ENSG00000187730,GABRD,1,2019329,2030758,+,gene:ENSG00000163431,LMOD1,1,201896456,201946548,-
gene:ENSG00000170075,GPR37L1,1,202122886,202133592,+,gene:ENSG00000143862,ARL8A,1,202133404,202144743,-
gene:ENSG00000077157,PPP1R12B,1,202348699,202592706,+,gene:ENSG00000143858,SYT2,1,202590596,202710454,-
gene:ENSG00000158816,VWA5B1,1,20290875,20359518,+,gene:ENSG00000117153,KLHL12,1,202891116,202928636,-
gene:ENSG00000163485,ADORA1,1,203090654,203167405,+,gene:ENSG00000133055,MYBPH,1,203167811,203175826,-
gene:ENSG00000163531,NFASC,1,204828651,205022822,+,gene:ENSG00000090432,MUL1,1,20499448,20508151,-
gene:ENSG00000067606,PRKCZ,1,2050411,2185395,+,gene:ENSG00000090432,MUL1,1,20499448,20508151,-
gene:ENSG00000174514,MFSD4A,1,205568885,205602918,+,gene:ENSG00000158711,ELK4,1,205597556,205632011,-
gene:ENSG00000158825,CDA,1,20589086,20618903,+,gene:ENSG00000162877,PM20D1,1,205828025,205850132,-
gene:ENSG00000266028,SRGAP2,1,206203346,206464436,+,gene:ENSG00000196550,FAM72A,1,206186179,206204414,-
gene:ENSG00000266094,RASSF5,1,206507531,206589448,+,gene:ENSG00000244038,DDOST,1,20651767,20661544,-
gene:ENSG00000143479,DYRK3,1,206635536,206684419,+,gene:ENSG00000117245,KIF17,1,20664014,20718017,-
gene:ENSG00000142224,IL19,1,206770764,206842981,+,gene:ENSG00000136634,IL10,1,206767602,206774541,-
gene:ENSG00000162892,IL24,1,206897443,206904139,+,gene:ENSG00000162894,FCMR,1,206903317,206923247,-
gene:ENSG00000123836,PFKFB2,1,207034366,207081024,+,gene:ENSG00000180667,YOD1,1,207043849,207052980,-
gene:ENSG00000123838,C4BPA,1,207104233,207144972,+,gene:ENSG00000189410,SH2D5,1,20719731,20732837,-
gene:ENSG00000196352,CD55,1,207321519,207386804,+,gene:ENSG00000127483,HP1BP3,1,20740266,20787323,-
gene:ENSG00000008118,CAMK1G,1,209583714,209613939,+,gene:ENSG00000196878,LAMB3,1,209614870,209652425,-
gene:ENSG00000009790,TRAF3IP3,1,209756032,209782320,+,gene:ENSG00000162757,C1orf74,1,209779208,209784559,-
gene:ENSG00000054392,HHAT,1,210328252,210676296,+,gene:ENSG00000143473,KCNH1,1,210676823,211134165,-
gene:ENSG00000279333,unknown,1,210678315,210681932,+,gene:ENSG00000143473,KCNH1,1,210676823,211134165,-
gene:ENSG00000143476,DTL,1,212035553,212107400,+,gene:ENSG00000143493,INTS7,1,211940399,212035557,-
gene:ENSG00000143476,DTL,1,212035553,212107400,+,gene:ENSG00000117298,ECE1,1,21217247,21345572,-
gene:ENSG00000203705,TATDN3,1,212791828,212816830,+,gene:ENSG00000117697,NSL1,1,212726153,212791782,-
gene:ENSG00000143494,VASH2,1,212950520,212992037,+,gene:ENSG00000174606,ANGEL2,1,212992182,213015867,-
gene:ENSG00000142794,NBPF3,1,21440128,21485005,+,gene:ENSG00000152104,PTPN14,1,214348700,214552449,-
gene:ENSG00000162814,SPATA17,1,217631324,217871696,+,gene:ENSG00000092978,GPATCH2,1,217426992,217631090,-
gene:ENSG00000187942,LDLRAD2,1,21812265,21825225,+,gene:ENSG00000142798,HSPG2,1,21822244,21937310,-
gene:ENSG00000092969,TGFB2,1,218345336,218444619,+,gene:ENSG00000162585,FAAP20,1,2184461,2212720,-
gene:ENSG00000219073,CELA3B,1,21977022,21998642,+,gene:ENSG00000196660,SLC30A10,1,219685427,219959018,-
gene:ENSG00000142789,CELA3A,1,22001657,22012542,+,gene:ENSG00000136628,EPRS1,1,219968600,220046530,-
gene:ENSG00000067704,IARS2,1,220094132,220148041,+,gene:ENSG00000118873,RAB3GAP2,1,220148293,220272529,-
gene:ENSG00000289694,unknown,1,22025142,22092943,+,gene:ENSG00000118873,RAB3GAP2,1,220148293,220272529,-
gene:ENSG00000136630,HLX,1,220879431,220885059,+,gene:ENSG00000162552,WNT4,1,22117313,22143969,-
gene:ENSG00000154305,MIA3,1,222618097,222668007,+,gene:ENSG00000186063,AIDA,1,222668013,222713210,-
gene:ENSG00000162819,BROX,1,222712553,222735196,+,gene:ENSG00000186063,AIDA,1,222668013,222713210,-
gene:ENSG00000184677,ZBTB40,1,22428838,22531157,+,gene:ENSG00000143748,NVL,1,224227334,224330189,-
gene:ENSG00000143786,CNIH3,1,224434660,224740554,+,gene:ENSG00000162923,WDR26,1,224385146,224437033,-
gene:ENSG00000070886,EPHA8,1,22563489,22603595,+,gene:ENSG00000154380,ENAH,1,225486765,225653142,-
gene:ENSG00000143819,EPHX1,1,225810124,225845563,+,gene:ENSG00000196187,TMEM63A,1,225845536,225882380,-
gene:ENSG00000173372,C1QA,1,22635077,22639678,+,gene:ENSG00000183814,LIN9,1,226231149,226309869,-
gene:ENSG00000289692,unknown,1,22636506,22644067,+,gene:ENSG00000143799,PARP1,1,226360210,226408154,-
